patent_id,title,year,inventor_count,company_count
10000000,Coherent LADAR using intra-pixel quadrature detection,2018,2,1
10000001,Injection molding machine and mold thickness control method,2018,2,1
10000002,Method for manufacturing polymer film and co-extruded film,2018,1,1
10000003,Method for producing a container from a thermoplastic,2018,4,1
10000004,"Process of obtaining a double-oriented film, co-extruded, and of low thickness made by a three bubble process that at the time of being thermoformed provides a uniform thickness in the produced tray",2018,2,1
10000005,Article vacuum formation method and vacuum forming apparatus,2018,2,1
10000006,Thermoforming mold device and a process for its manufacture and use,2018,2,1
10000007,PEX expanding tool,2018,4,1
10000008,Bracelet mold and method of use,2018,2,1
10000009,Sterile environment for additive manufacturing,2018,2,0
10000010,3-D electrostatic printer using rack and pinion registration system,2018,3,1
10000011,Supports for sintering additively manufactured parts,2018,4,1
10000014,Method for producing thermoplastic foam panels by means of at least two heating elements offset in parallel with each other,2018,4,1
10000015,"Methods for making optical components, optical components, and products including same",2018,1,1
10000016,Film edge sealing device,2018,4,1
10000017,Method for mounting a vortex generator and mounting apparatus for carrying out the method,2018,3,1
10000018,Pull tab design for stretch release adhesive,2018,1,1
10000019,Installation assembly and associated method for forming a bonded joint,2018,1,1
10000020,Method and device for producing areas in a printed object having different coefficients of friction,2018,2,1
10000021,Method for manufacturing three-dimensional shaped object and three-dimensional shaped object obtained by the same,2018,4,1
10000022,Method for processing PAEK and articles manufactured from the same,2018,3,1
10000023,Apparatus and method for forming three-dimensional objects using linear solidification,2018,4,1
10000024,Apparatus and method for control of three-dimensional printing,2018,3,1
10000025,Optimized cross-ply orientation in composite laminates,2018,2,1
10000026,Composite induction consolidation apparatus and method,2018,4,1
10000027,Apparatus and method for reshaping plastic preforms into plastic containers with an automatic changing device for handling parts,2018,2,1
10000028,Mechanical fastening nets and methods of making the same,2018,2,1
10000029,Transmission belt manufacturing method and transmission belt,2018,4,1
10000030,Manufacturing method of pneumatic tire,2018,2,1
10000031,Method for contour shaping honeycomb structures,2018,4,1
10000032,Method for operating a press with an underneath drive and press operated according thereto,2018,1,1
10000033,"Washable, waterproof, sealable and reusable storage bags",2018,2,1
10000034,Envelope Making Plate,2018,4,1
10000035,"Lightweight, high flow hose assembly and method of manufacture",2018,2,1
10000036,High kinetic energy penetrator shielding and high wear resistance materials fabricated with boron nitride nanotubes (BNNTS) and BNNT polymer composites,2018,4,1
10000037,Transparent laminate and protective tool including the same,2018,4,1
10000038,Alloy plate coated material and method of producing alloy plate coated material,2018,4,1
10000039,Multilayer interlayers having high Tg and high modulus,2018,4,1
10000040,"Floor panel, methods for manufacturing laminate panels and method for treating material sheets applied herewith",2018,1,1
10000041,Method for making a decorative multilaminar veneer,2018,1,1
